,Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS,lon,lat
15146,GOBIERNO REGIONAL,3,"HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LORETO,MAYNAS,PUNCHANA,160108,AVENIDA AVENIDA 28 DE JULIO S/N NÚMERO S/N DISTRITO PUNCHANA PROVINCIA MAYNAS DEPARTAMENTO LORETO ,24,0,0,LORETO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,874,HOSPITAL REGIONAL LORETO,III-1,(51)065-252746,RESOLUCIÓN,,24 HORAS,10/07/1989,PERCY ANTONIO ROJAS FERREYRA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.25341698,-3.72696048,107.6,100.0,-73.25341698,-3.72696048
15164,MINSA,5946,HOSPITAL NACIONAL HIPOLITO UNANUE,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,EL AGUSTINO,150111,AVENIDA CÉSAR VALLEJO 1390 - EL AGUSTINO AV. CÉSAR VALLEJO 1390 - EL AGUSTINO EL AGUSTINO LIMA LIMA ,21,0,0,LIMA ESTE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,132,HOSPITAL NACIONAL HIPOLITO UNANUE,III-1,3625700 / 3627777,RESOLUCIÓN,,24 HORAS,24/02/1949,LUIS WILFREDO MIRANDA MOLINA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9935755,-12.0399743,,637.0,-76.9935755,-12.0399743
15170,GOBIERNO REGIONAL,520,DE APOYO FELIX MAYORCA SOTO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,TARMA,TARMA,120701,AV.PACHECO Nº 362,17,3,0,JUNIN,TARMA,NO PERTENECE A NINGUNA MICRORED,827,SALUD TARMA,II-2,064-321400,RESOLUCIÓN,157-2011-DRSJ/OEGDRH,24 HORAS,28/05/1958,LUIS ENRIQUE RODRIGUEZ SORIANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.69261968,-11.42508388,3103.0,111.0,-75.69261968,-11.42508388
15219,GOBIERNO REGIONAL,7639,HOSPITAL GENERAL DE HUACHO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,HUAURA,HUACHO,150801,AVENIDA JOSE ARAMBULO LA ROSA Nº 221-251-271,22,2,0,LIMA,RED II HUAURA - OYON,NO PERTENECE A NINGUNA MICRORED,1286,HOSPITAL HUACHO - HUAURA - OYON Y SERVICIOS BASICOS DE SALUD,II-2,01-2322351 / 01-2395142,RESOLUCIÓN,RD 463- DG -DESI-DSS-DIRESA-L-2010,LUNES A DOMINGO LAS ,02/10/1970,JOSE ALFREDO MOREYRA CHAVEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.60782172,-11.11552309,55.0,162.0,-77.60782172,-11.11552309
15240,GOBIERNO REGIONAL,5349,HOSPITAL DE APOYO LEONCIO PRADO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,130901,AVENIDA 10 DE JULIO Nº 209 DISTRITO HUAMACHUCO PROVINCIA SANCHEZ CARRION DEPARTAMENTO LA LIBERTAD ,18,10,0,LA LIBERTAD,RED SANCHEZ CARRION,NO PERTENECE A NINGUNA MICRORED,851,SALUD SANCHEZ CARRION,II-1,044-441078,RESOLUCIÓN,,24 horas,29/09/1988,AUKY BARKLEY SALINAS OTINIANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.04389675,-7.817422,3188.919,17.0,-78.04389675,-7.817422
15270,GOBIERNO REGIONAL,432,DE APOYO MANUEL HIGA ARAKAKI,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,SATIPO,SATIPO,120601,CALLE CALLE DANIEL ALCIDES CARRION Nº 398 DISTRITO SATIPO PROVINCIA SATIPO DEPARTAMENTO JUNIN ,17,5,0,JUNIN,SATIPO,NO PERTENECE A NINGUNA MICRORED,829,SALUD SATIPO,II-1,064-545020,RESOLUCIÓN,,24 HORAS,01/01/1973,LUIS EDINZON HUAMAN PADILLA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.6386,-11.24928,632.0,18.0,-74.6386,-11.24928
15440,GOBIERNO REGIONAL,5986,HOSPITAL REZOLA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,150501,CALLE SAN MARTIN Nº 120 -124  SAN VICENTE,22,7,0,LIMA,RED VII CA¥ETE - YAUYOS,NO PERTENECE A NINGUNA MICRORED,1288,HOSPITAL DE APOYO REZOLA,II-2,5811362,RESOLUCIÓN,463 DG -DESI -DSS-DIRESA -L -2010,24 HORAS,14/02/1980,FELIX SANTIAGO GARCIA AHUMADA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.385432,-13.076235,38.0,91.0,-76.385432,-13.076235
15461,MINSA,5948,HOSPITAL HERMILIO VALDIZAN,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,SANTA ANITA,150137,CARRETERA CARRETERA CENTRAL KM 3.5 SANTA ANITA DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA ,21,1,0,LIMA ESTE,LIMA ESTE METROPOLITANA,NO PERTENECE A NINGUNA MICRORED,133,HOSPITAL HERMILIO VALDIZAN,III-1,(51) 1-4942410,RESOLUCIÓN,,24 HORAS,28/04/1962,CARLOS ALBERTO SAAVEDRA CASTILLO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9454975,-12.0468271,,246.0,-76.9454975,-12.0468271
15531,GOBIERNO REGIONAL,4659,HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,CHOTA,CHOTA,60401,JR. EXEQUIEL  MONTOYA Nº 718,7,0,0,CAJAMARCA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1539,HOSPITAL JOSE H. SOTO CADENILLAS - CHOTA,II-1,949822829,RESOLUCIÓN,,24 HORAS,05/04/1968,GUSTAVO ADOLFO VALLEJO BARBOZA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.65334,-6.56221,2388.0,65.0,-78.65334,-6.56221
15821,ESSALUD,12243,HOSPITAL II ESSALUD TALARA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,TALARA,PARIÑAS,200701,AV. PANAMERICANA S/N CARRETERA A LOBITOS,28,0,0,PIURA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,073-381201,RESOLUCIÓN,0,24 HORAS,18/11/2006,MAO ZETA ZETA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-81.27384046,-4.5684194,28.7,35.0,-81.27384046,-4.5684194
15889,GOBIERNO REGIONAL,6919,HOSPITAL JUANJUI,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,MARISCAL CACERES,JUANJUI,220601,JR. ARICA CUADRA 2,30,7,5,SAN MARTIN,MARISCAL CACERES,NO PERTENECE A NINGUNA MICRORRED,1059,SALUD HUALLAGA CENTRAL,II-E,042-545910,RESOLUCIÓN,RD N° 133-2013-GRSM/DIRES-SM/DIREFISSA,24 HORAS,01/01/1900,JOSE MISAEL GARCIA DELGADO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.73532961,-7.18143172,301.0,39.0,-76.73532961,-7.18143172
15948,ESSALUD,9047,HOSPITAL III CHIMBOTE,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,SANTA,CHIMBOTE,21801,AV.CIRCUNVALACION Nº 119 - LADERAS DEL NORTE,2,0,0,ANCASH,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,043-321328,RESOLUCIÓN,,00:00 A 24:00,13/07/1963,FELIPE JESUS SEMINARIO GALLO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.5884403,-9.0611812,,152.0,-78.5884403,-9.0611812
15955,GOBIERNO REGIONAL,1232,HOSPITAL III GOYENECHE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,AREQUIPA,AREQUIPA,40101,AVENIDA GOYENECHE N° 100,4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,766,HOSPITAL GOYENECHE,III-1,054-231313 / 054-218562,RESOLUCIÓN,224-2015-GRA/GRS/GR-OAL,24 HORAS,11/02/1912,ALBERTA JESUS AVENDAÑO VIZCARRA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.52837833,-16.401595,2367.1,250.0,-71.52837833,-16.401595
15961,GOBIERNO REGIONAL,1382,HOSPITAL APLAO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,CASTILLA,APLAO,40401,AVENIDA AVENIDA 21 DE MARZO S/N NÚMERO S/N DISTRITO APLAO PROVINCIA CASTILLA DEPARTAMENTO AREQUIPA ,4,2,0,AREQUIPA,CASTILLA CONDESUYOS - LA UNION,NO PERTENECE A NINGUNA MICRORED,769,SALUD APLAO,II-1,054-471021,RESOLUCIÓN,806-2005,00:00 - 24:00,14/04/1970,CLEBER MARTIN ZEGARRA CORRALES NUÑEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.49043833,-16.076545,650.9,32.0,-72.49043833,-16.076545
15998,ESSALUD,9054,HOSPITAL I CONO SUR,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,SANTA,NUEVO CHIMBOTE,21809,AV.ANCHOVETA S/N,2,0,0,ANCASH,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-4,043-311101,RESOLUCIÓN,1340-2015-REGION-A-DIRES/DGDRH,00:00 A 24:00,09/08/1987,LUIS JAIME CHAVARRI MAXIMILIANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.5233296,-9.124726,,5.0,-78.5233296,-9.124726
16062,ESSALUD,9041,POLICLINICO EL PORVENIR,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,EL PORVENIR,130102,JIRON MAYTA CAPAC Nº 823 RIO SECO,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,044-400291,RESOLUCIÓN,,24 HORAS,02/08/1987,MARITA SOLEDAD MIRANDA PLASENCIA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.00711,-8.07474667,113.6,12.0,-79.00711,-8.07474667
16079,GOBIERNO REGIONAL,3349,YUNGUYO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,YUNGUYO,YUNGUYO,211301,JR. LIMA Nº 938 - YUNGUYO,29,4,0,PUNO,YUNGUYO,NO PERTENECE A NINGUNA MICRORED,967,SALUD YUNGUYO,II-1,051-856057,RESOLUCIÓN,,24 HORAS,01/01/1900,JESUS NUÑEZ CAHUAYA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.090335,-16.24715833,3842.2,31.0,-69.090335,-16.24715833
16143,GOBIERNO REGIONAL,4782,BAMBAMARCA - TITO VILLAR CABEZAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,HUALGAYOC,BAMBAMARCA,60701,JR. RICARDO PALMA,7,0,0,CAJAMARCA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1662,GOB. REG. CAJAMARCA - SALUD HUALGAYOC - BAMBAMARCA,II-1,959607965,RESOLUCIÓN,,24 HORAS,04/03/1980,ELADIO ENRIQUE RUIZ DIAZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.52894909,-6.67111069,2567.532,23.0,-78.52894909,-6.67111069
16154,GOBIERNO REGIONAL,1344,HOSPITAL DE CAMANA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,CAMANA,CAMANA,40201,AV LIMA 550,4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,768,SALUD CAMANA,II-1,054-571603,RESOLUCIÓN,162-2014,24 HORAS,27/10/1953,ISAURO FRANCISCO MALAGA RIVERA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.44216848,-15.47487068,302.0,87.0,-74.44216848,-15.47487068
16213,GOBIERNO REGIONAL,1231,HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,AREQUIPA,AREQUIPA,40101,AV. ALCIDES CARRION N° 505,4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,767,HOSPITAL REGIONAL HONORIO DELGADO,III-1,054-231818 / 054-233812,RESOLUCIÓN,809-2005-GRA,24 HORAS,18/07/1967,JUAN FRANCISCO CONDORI CHAMPI ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.53314,-16.41567,2319.9,673.0,-71.53314,-16.41567
16252,ESSALUD,8564,HOSPITAL I OCTAVIO MONGRUT MUÑOZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,SAN MIGUEL,150136,AV PARQUE DE LAS LEYENDAS 255,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,3198060,RESOLUCIÓN,,24 HORAS,21/07/2000,MILKO DANIEL FARFAN OCHOA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0945832,-12.0659612,,49.0,-77.0945832,-12.0659612
16283,MINSA,5947,HOSPITAL DE MEDIANA COMPLEJIDAD JOSE AGURTO TELLO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LURIGANCHO,150118,JR. AREQUIPA 214-218,21,0,0,LIMA ESTE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1138,"HOSPITAL ""JOSE AGURTO TELLO DE CHOSICA""",II-2,3613300,RESOLUCIÓN,,24 HORAS,10/03/1987,YOFRE WILLIAMS SOTOMAYOR AGÜERO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.693699,-11.9344473,,67.0,-76.693699,-11.9344473
16307,GOBIERNO REGIONAL,4511,DE APOYO CAJABAMBA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,CAJABAMBA,CAJABAMBA,60201,JR. LA TORRE Nº 277,7,5,1,CAJAMARCA,CAJABAMBA,CAJABAMBA,785,REGION CAJAMARCA-SALUD CAJAMARCA,II-1,551099,RESOLUCIÓN,002-2015-GR.CAJ/DRS-DESP,24 HORAS,03/02/1974,LUIS ORTIZ CARRANZA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.04762139,-7.63637854,2659.0,30.0,-78.04762139,-7.63637854
16315,ESSALUD,10136,HOSPITAL II CLINICA JAEN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,JAEN,JAEN,60801,CALLE MARIANO MELGAR Nº 192- URB. SANTA BEATRIZ,7,0,0,CAJAMARCA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,076-431271,RESOLUCIÓN,,24 HORAS,15/04/1996,RICARDO ARTURO BERNAOLA ZEVALLOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.8008309,-5.7134468,720.2,26.0,-78.8008309,-5.7134468
16380,ESSALUD,9748,HOSPITAL I OXAPAMPA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PASCO,OXAPAMPA,OXAPAMPA,190301,"PROLONGACION ENRIQUE BOTTGER S/N, DISTRITO, PROVINCIA DE OXAPAMPA Y REGIÓN PASCO",27,0,0,PASCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,063-462221,RESOLUCIÓN,,24 HORAS,11/01/2000,RICARDO MISAEL MARIÑO FAJARDO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.39887333,-10.57447333,1836.9,11.0,-75.39887333,-10.57447333
16448,MINSA,5617,HOSPITAL SAN JUAN DE LURIGANCHO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,ENTRE PARADERO 10 Y 11 DE AV. CANTO GRANDE (HUASCAR),21,0,0,LIMA ESTE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1216,HOSPITAL SAN JUAN DE LURIGANCHO,II-2,3872300,RESOLUCIÓN,,24 HORAS,20/02/1976,JUAN CARLOS BECERRA FLORES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0030573,-11.9665774,,150.0,-77.0030573,-11.9665774
16461,ESSALUD,8577,HOSPITAL NACIONAL ALMANZOR AGUINAGA ASENJO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,PLAZA DE LA SEGURIDAD SOCIAL S/N,19,0,0,LAMBAYEQUE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,074-237776,RESOLUCIÓN,,24 HORAS,07/08/1966,ERNESTO AURELIO CASTAÑEDA ALARCON ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.83079167,-6.773685,55.9,384.0,-79.83079167,-6.773685
16466,ESSALUD,13290,HOSPITAL NACIONAL III-1 CARLOS ALBERTO SEGUÍN ESCOBEDO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,AREQUIPA,AREQUIPA,40101,ESQUINA PERAL - EL FILTRO S/N,4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,054-211791,RESOLUCIÓN,1032-2015,24 HORAS,10/02/1994,MIGUEL FERNANDO FARFAN DELGADO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.5310463,-16.3948228,,372.0,-71.5310463,-16.3948228
16568,GOBIERNO REGIONAL,3792,HOSPITAL DE APOYO  SAN MIGUEL,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,LA MAR,SAN MIGUEL,50501,AV. RAMON CASTILLA S/N,5,3,0,AYACUCHO,SAN MIGUEL,NO PERTENECE A NINGUNA MICRORED,1489,RED DE SALUD SAN MIGUEL,II-E,066-324060,RESOLUCIÓN,Nº 1508-2012-GRA/GG-GRDS-DIRESA-DR,24 HORAS,21/06/1945,PERCY ANTONINO DONAYRE VALENZUELA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.97698,-13.01310667,2644.4,30.0,-73.97698,-13.01310667
16608,GOBIERNO REGIONAL,7636,HOSPITAL DE SUPE LAURA ESTHER RODRIGUEZ DULANTO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,BARRANCA,SUPE,150204,JIRÓN  ALFONSO UGARTE Nº 350 DISTRITO SUPE PROVINCIA BARRANCA DEPARTAMENTO LIMA,22,1,0,LIMA,RED I BARRANCA - CAJATAMBO,NO PERTENECE A NINGUNA MICRORED,1289,HOSPITAL BARRANCA-CAJATAMBO Y SERVICIOS BASICOS DE SALUD,II-1,(01)2364323 ,RESOLUCIÓN,RD 463 DG -DESI -DSS -DIRESA  -L -2010,7:00 -  7:00,13/08/1970,ALBERTO WILLY BEGAZO POMAR ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.7172015,-10.79690607,55.529,15.0,-77.7172015,-10.79690607
16889,GOBIERNO REGIONAL,1472,RECUAY,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,RECUAY,RECUAY,21701,JR. BOLIVAR Nº 200 RECUAY,2,1,0,ANCASH,HUAYLAS SUR,NO PERTENECE A NINGUNA MICRORED,740,REGION ANCASH-SALUD RECUAY CARHUAZ,II-1,43444031,RESOLUCIÓN,669-2007-REGION ANCASH-DIRES/DIPER,24 HORAS,01/01/1970,FELIX PRESENTACION ARANDA MARCELO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.453195,-9.72803333,3446.4,7.0,-77.453195,-9.72803333
16978,ESSALUD,10571,HOSPITAL II HUANUCO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANUCO,HUANUCO,AMARILIS,100102,JR.JOSE OLAYA C/.2,14,0,0,HUANUCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,062-518526,RESOLUCIÓN,,24 HORAS,05/05/1977,ROSA PASCUAL ALBITRES . . ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.239595,-9.937735,1935.1,68.0,-76.239595,-9.937735
17009,GOBIERNO REGIONAL,5125,HOSPITAL DE APOYO I SANTIAGO APOSTOL DE UTCUBAMBA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,AVENIDA FELIPE SANTIAGO S/N - BAGUA GRANDE,1,3,0,AMAZONAS,UTCUBAMBA,NO PERTENECE A NINGUNA MICRORED,1350,GOB.REG.AMAZONAS- SALUD UTCUBAMBA,II-1,041-474634,RESOLUCIÓN,,24 HORAS,12/01/1990,JIHMMY MATAMOROS MENDOZA . . ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.44071793,-5.75425027,458.0,44.0,-78.44071793,-5.75425027
17165,ESSALUD,11213,HOSPITAL BASE II ABANCAY,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,APURIMAC,ABANCAY,ABANCAY,30101,SUB LOTE A PARTE INTEGRANTE DEL LOTE 61 Y 61A QUINTA CAYETANA PATIBAMBA,3,0,0,APURIMAC,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,083-321112  / 083-321637,RESOLUCIÓN,,24 HORAS,06/07/1975,RAMIRO CAMPANA MIRANDA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.89601667,-13.64184167,2298.8,83.0,-72.89601667,-13.64184167
17210,ESSALUD,14147,ANTONIO SKRABONJA ANTONCICH,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ICA,PISCO,PISCO,110501,AVENIDA AV. LAS AMERICAS S/N S/N AV. LAS AMERICAS S/N PISCO PISCO ICA ,15,0,0,ICA,NO PERTENECE A NINGUNA RED, ,0, ,II-1,056-535550,RESOLUCIÓN,,24 HORAS,28/06/2007,MARTIN JOSE MONTENEGRO GUERRA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.1968083,-13.7178156,33.6,57.0,-76.1968083,-13.7178156
17219,GOBIERNO REGIONAL,3414,SAN JOSE DE CHINCHA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ICA,CHINCHA,CHINCHA ALTA,110201,AVENIDA ABELARDO ALVA MAURTUA N° 600 AV. ABELARDO ALVA MAURTUA N° 600 CHINCHA ALTA CHINCHA ICA ,15,2,1,ICA,CHINCHA - PISCO,CHINCHA,1014,HOSPITAL SAN JOSE DE CHINCHA,II-1,056-261421,RESOLUCIÓN,,24 HORAS,01/01/1900,JOHN JAVIER CAYANI GUILLEN ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.126995,-13.41651167,129.9,97.0,-76.126995,-13.41651167
17270,GOBIERNO REGIONAL,4074,HOSPITAL DE PAMPAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANCAVELICA,TAYACAJA,PAMPAS,90701,JIRÓN BOLIVAR S/N S/N JR. BOLIVAR S/N PAMPAS TAYACAJA HUANCAVELICA ,13,3,9,HUANCAVELICA,TAYACAJA,NO PERTENECE A NINGUNA MICRORED,1627,GOB. REG. HUANCAVELICA  HOSPITAL DE PAMPAS DE TAYACAJA,II-1,990003432,RESOLUCIÓN,,24 HORAS,15/02/2011,DANIEL OMAR ARCE ZAPATA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.86732,-12.39571,3276.0,38.0,-74.86732,-12.39571
17385,MINSA,5945,HOSPITAL VITARTE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,ATE,150103,AVENIDA NICOLAS AYLLON 5880-CARRETERA CENTRAL DISTRITO ATE PROVINCIA LIMA DEPARTAMENTO LIMA ,21,0,0,LIMA ESTE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1217,HOSPITAL VITARTE,II-1,3514484 / 3516059,RESOLUCIÓN,,24 HORAS,20/03/1957,CESAR AUGUSTO CONCHE PRADO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9199038,-12.0260421,,111.0,-76.9199038,-12.0260421
